narration_id,narration_text
1,A bathroom with a toilet in the middle
2,A room full of meters and mechanical equipment
3,A restaurant room filled with tables and chairs 
4,A man sitting on his bed looking at his phone. The man gets up from the bed to pick up the TV remote and turns it on. He then sits back down on the bed. 
5,"A bathroom that has blood all over the walls, floor, sink, and shower. There is an axe in a puddle of blood."
6,A wooden room where multiple pigeons fly to and from perches on the far wall. 
7,"In a dark room, a door opens and a person with a hazmat suit is standing in another room. The person then walks through the door and walks toward a button on the right wall and presses it. Another door begins to open. "
8,"A winter/spring forest landscape with lots of trees with no leaves, moving in the wind. "
9,An ambulance and firetruck back into fire station's garage doors.
10,A soccer game is being played between a yellow and an orange team. A foul is whistled against the yellow team as a yellow and orange player collide. The orange team receives the ball and kicks it toward the yellow goalie.
11,"On a roof that is under construction during a windy, grey day. One hears machines being used in the background."
12,A person is spray painting graffiti on an abandoned building
13,In an underground tunnel where a biker peddles towards the camera and one can see people walking.
14,At a dance competition where a dance team is preforming in front of a large audience. Music is blaring and colourful lights fill the stage. 
15,Under a dark bridge. A biker rides by and a woman runs out from under the bridge immediately screaming as a person grabs her. The woman begins to laugh and the two people walk/run away still intertwined with each other. 
16,A male in a hoodie walks toward the camera and puts on a mask. The male then hides behind a tree.  A woman runs by and is tackled/grabbed by the male. The male pulls her behind the tree.
17,A go kart track where a group of people are racing in go karts. 
18,"In what looks like a medical facility. A women in scrubs walks towards freezer doors, opens one up and pulls a large gurney out of the freezer a little bit and then walks away. "
19,A group of paramedics bring in a person on a gurney into a hospital.
20,An eye doctor is completing an eye exam on a client.
21,"In a hospital, in a far room people are moving another person around. There are lots of staff waling around the hospital floor. "
22,A woman is walking outside the hospital doors and begins to cough frequently.
24,Outside a European church people walk by it.
25,"In a dance studio, a woman is completing a dance routine."
26,"Three horses are standing outside in a fenced off portion in the yard, connected to what seems to be a barn."
27,"At the base of a water slide, people in tubes finish taking the slide and walk off with their tubes. "
28,At a male stripper show. There is loud music and colourful lights. The men are preforming in front of a large audience who cheer loudly when the men rip their shirts off. 
29,"A crowd of people are sitting and standing around a ledge that overlooks a city. Music is playing, some people are drinking and smoking. "
30,Outside a tropical house people walk around it.
31,A woman walks to an area to feed 4 small animals that look to be cats or small dogs.
32,A woman walks toward an area to feed 4 animals that appear to be cats or small dogs. 
33,On a bridge over a highway. A person watches at the railings. Cars drive under and on the bridge.
34,5 people taking turns rock climbing on different walls. Some sit in the middle of the walls.
35,In a car dealership show room. Multiple cars are parked around the room. 
36,At a party. People are dressed very nicely. People are talking while Uptown Funk plays in the background. Colourful lights fill the room.
37,A person on a stage teaches a large group of people on a dance floor how to dance. They all jump in unison. 
38,A shadowy person stands on the side of the screen staring into the camera. 
39,A woman is getting a tattoo on her calf by an man at a tattoo shop.
40,"On a ferris wheel, one can hear and see bits of an amusement park or carnival. "
41,Looking at a restaurant two people are ordering food at the counter. Staff members walk behind the counter. 
42,"In a movie theatre, people walk in and around the room to go to their movie room."
43,"In a barn, little puppies walk around, play with each other and make small noises."
44,Looking at and into a dark rocky tunnel
45,"In a church, a casket sits at the front of the stage. No person sits in the chairs. "
46,"In a church, a large amount of people sit with paper in their hands as they watch a choir and their conductor sing."
47,"In a surgical room, a person is being operated on. The doctors and nurses talk to each other. "
48,"In a grocery store a person walks down an isle, picks up a small green box, reads the box, and puts it in their basket. "
49,In a park in a city. The grass and trees are green. Cars drive by. 
50,"Armed people in black with guns are surrounding a door down a hall. There is a loud bang and the armed people run behind a wall. The door shuts and the armed people talk loud and point their guns towards it. A person in blue, leans against another wall the entire time. "
51,A woman is practicing shooting a gun at a virtual reality simulation with two other people. The gun makes a large bang sound. 
52,Looking at a winter landscape with trees and open land. 
53,People sit on rocks in a park that looks towards the tall buildings of a city. 
54,"In a basement, a man plays drums well. He is surrounded by other instruments and drum kits."
55,A man stands by a table loading a gun. There are a lot of guns on racks around him. He is in room that looks to be a gun shop.
56,At a workout class. There is a man that is on a stage teaching the small class of women. They are doing excertises with a bar over their shoulders. They do squats and lunges. Music plays. 
57,"A woman sits on a mattress, bottle feeding a baby perched up on a pillow."
58,On a bridge platform looking down on houses and trees in the distance. There seems to be an old building sculpture on the side of the platform. 
59,"At a train station, people with suitcases walk off and away from the train. Another train arrives at the station. "
60,"In a dark small room where two candles light the space. There seems to be movement and sounds, but one cannot see where the sounds are coming from. "
61,During the winter a person is trying to shovel their car out of the snow. The person continuously shovels the snow and puts it somewhere behind the car. 
62,"At a kennel, a dog is locked up behind metal bars. The dog barks a lot and wags its tail."
63,On a sunny day at a white sand beach. Small waves crash on the shore. Some people sit under blue umbrellas. 
64,A woman plays the piano that overlooks an open window that seeing the tops of other houses/buildings. 
65,"At a kennel, cats are in cages. They meow continuously and walk around their cage. "
66,"At a kennel, cats are in cages. They walk around their cage and meow continuously. "
67,"On a field, chickens walk around, cluck, and peck at the ground. Some fly around in the background. "
68,"Downtown on a busy street overlooking lots of very large electronic billboards. People are walking around, taking pictures. Cars drive by on the street. "
69,"At a hair salon, a male is getting his hair cut by an older man. No one else is in the salon."
70,In an ambulance. A person lies on a gurney. One can hear their heart beat electronically. A medic takes notes. 
71,"In a room, pigs walk and run around in their kennels."
72,At a miniature golf course. Neon lights fill the room. A person hits the golf ball. 
73,A person is at an indoor gun range shooting towards a target multiple times.
74,A double decker red bus stops at a bus station and people walk onto the bus. 
75,A double decker red bus stops at an outdoor bus station and a person walks onto the bus. 
76,"In a white jail cell, one sees a bed, a closet, a desk, and a toilet. A small window with metal bars is above the bed."
77,A yellow helicopter slowly begins to land on a field near a building. 
78,Three men are in a bedroom continuously laughing together. 
1,"Public washroom is silent. There is no one inside. There is one toilet and a bin. The walls are made of white rectangular tiles and a blue stripe along the perimeter of the wall, on the even level. It is clean inside and bright."
2,"Inside of a mechanical room with a lot of technical appliances. It is tan colored. There are a lot of black knobs, gages with red arrows. There is a big pipe on the celling and a helm connected to it. On the left side of the room there are stairs with three steps that lead to another room."
3,"Inside a restaurant. Multiple chairs stand across the room, orange and grey colored. The tables are white, simple, and there are no people inside. Tables have napkins on them. The room is bright with big floor-length glass windows. Over some tables, there are chandeliers of simple design, black and circular."
4,"Inside the apartment bedroom, that it is white and spacious. A man sits on a bed, he is looking at his phone. He places it on the nightstand shortly after and gets up from the bed. He moves towards the other table and grabs a remote from the TV. He returns to the bed and turns on the TV."
5,"Inside of the bathroom with a shower, washing machine, toilet, and a sink. The white tiles of the walls are covered in blood. There are marks of hands on the toilet cover, walls, and the curtain of the shower. There is an axe lying on top of the washing machine next to the toilet, it is covered with red blood, it made a small puddle. Over the toilet, there is a sign painted by blood that says ""RUN"". There are no people inside. "
6,"Pigeonry with 7 pigeons. It is made out of wood and has some rectangular shelves inside for the birds. There are two windows, one of which is smaller. The floor is filled with a thin layer of sand, there are also a few wooden plaques laying around. Pigeons are flying up and down near the same wall. They are calm."
7,A corridor with light yellow walls. There is a lamp on the wall. A sturdy door slowly opens and we see a man in a yellow head to toe costume. He is wearing a gas mask and black gloves. The door slowly closes when he is already inside. He comes up to the wall with a phone on it. He touches it and starts to dial in some numbers. This while time the light of the lamp slowly flashes.
8,A nature scene. Bright blue sky in the winter with some hills and trees. Trees do not have any leaves anymore. The wind blows and the branches slowly rock.
9,"Outside of the fire department station. There are two trucks going inside of the red building. The sides of the truck display a number ""112"". Both of the trucks are red."
10,"It is a football match on the grass field. The weather is cold, and people who watch the match are wearing jackets. They stand near the pitch. One man sits on a chair, watching the practice. The players are wearing orange and yellow uniforms. The player with number five in an orange t-shirt standswith  the ball and gives a pass to his teammate. They continue to play."
11,"A cityscape of a small town somewhere in Britain. The camera is positioned on top of the old building, that is being renovated and has scaffolding on the two peaks. The weather is windy and cloudy, one white car passes down the road. The private houses are mostly brown and white. The trees have a little bit of green on them. "
12,"An abandoned old building with grey garage doors. A woman paints graffiti in a bubble style on them. The windows are cracked and after she finishes, she steps back."
13,Somewhere underground in a tunnel with a dimmed lighting. It is empty except for a man on a bike that rides it slowly.
14,"The scene is set inside of the concert hall. There is a large dance floor, and dancers are in the center. They are performing in the centre while strobe lights shine in the background. Lights are purple and blue. A big crowd around the dancers is cheering and watching them."
15,"The scene is set inside of a tunnel, where a dark evening is seen. A cyclist goes inside of the tunnel. After that, a woman running from the other side appears. She is attacked by a man who drags her to the side. They dissapear in the dark."
16,"A man approaches the camera, putting on an anonymous mask. Then he proceeds to hide behind a tree next to him. He waits while a woman in a green shirt, who is running, passes him. He drags her by the waist, while she struggles to break free. They struggle and fight, but he makes it to the tree where he was hiding with her."
17,"Inside of a carting treck, cars are going around in circles. There are 8 drivers, who drive slowly, without bumping in anything."
18,"Inside a morgue room, which looks very clean with white tires on the floor and warm lights. There are 3 refrigerators. A blonde woman in blue scrubs comes in through the door. She opens one of the fridges and pulls the tray with a body in a white bag halfway. It stays in that position. Then she goes away, leaving the tray out and the fridge open."
19,"Inside of an entrance to the hospital. A group of paramedics in red and green warm suits comes in. They walk through the sliding door slowly. They have a patient lying on a rolling table, covered in blue blankets. The group of people continues to walk in to the next sliding door. They dissapear after that."
20,"Inside of an optometrist's office, there is a doctor examining a patient's eyesight on a special machine. They sit in a corner of the office, next to the doctor's computer. The doctor is wearing a white coat, the patient is in a long-sleeve sweater. The door to the room is open to the inside, and the room's number is 14. "
21,"Inside the hospital's corridor. The walls are painted white, and there are some medical devices along the walls. The doors to one of the exam rooms is open and we see a nurse there. There is also two women passing by, a nurse who brings a woman to the exam room. The nurse, who is wearing a red jacket over her uniform, goes away once the patient is inside. Meanwhile, the patient flicks the light switch."
22,"Outside of the hospital entrance, in the evening, a woman wearing white coat tries to put on her backpack. She struggles a lot because of the weight and her posture slouches once it is on her shoulders. She goes away."
24,"On a square in a European city, there is a catholic church. It is white and located in old part of the town, with cobalt road. A woman passes by towards the small houses, which are yellow. Except for her, it is empty."
25,"Inside of a dance studio, there are poles for dancing. There is a woman, standing on her arms upside down, she moves her legs slowly in a wave-like pattern. She gets down on her knees and continues to dance with her arms, sitting down. She performs a split and gets up."
26,Two different horses on a farm are standing near the fence. They are calm and looking around. One of the horses moves their head down to graze some grass. The weather is cloudy and gloomy.
27,"The bottom of the aquapark slide. Some finish their slide down and try to get up with their tubing. They come out of the water in pairs, one by one."
28,5 men are dancing in front of a large crowd. Strobing lights flash and the men rip their white tanks off their chest. They start spinning their shirts as if they are about to throw it in the audience and point to people in the public. The dancers stop and continue to hold it above their chest.
29,"A large number of people sit on top of the hill. They watch the sunset. People are in small groups chatting, hugging, and looking at the view."
30,"An outside of a big old white house. There are palms in the court, the sun shines brightly and there are a lot of trees outside. There are some people exiting the house moving outside."
31,"The scene is set in a park, on a bright day. A woman comes into frame and there are a few grey foxes following her. She stops near a fallen branch and starts feeding the animals. They come in a circle and follow the food."
32,(missing)
33,"There is a busy highway, and the camera is set on top of a crossing bridge for pedestrians. There are a lot of cars going in different direction. The bridge is red, and the highway is surrounded by trees."
34,"Inside of a climbing centre, one boulder tries to climb up a wall with an incline. He places his legs carefully. There are other people as well on the other wall. Two people also observe sitting further from the wall on the matt."
35,Car dealership. There are a lot of cars from volkswagen. They are shiny and stand far apart from each other. 
